#Energy [keV]	Effective area [cm²]    StatError       SystError
0.277		8.29                    0.08            0.2
0.930           7.64                    0.08            0.2		
1.49		8.32                    0.05            0.2
1.78		8.38                    0.08            0.2
2.98		5.16                    0.05            0.1
4.51		3.12                    0.01            0.08
5.41		2.54                    0.02            0.06
6.4		1.18                    0.01            0.03   
8.04		0.154                   0.001           0.004
