r [R_sun]      e #density [cm**-3] e #density [eV**3]  
0.092          4.30947e+25         329.459             
0.0925         4.29547e+25         328.389             
0.093          4.28139e+25         327.313             
0.0935         4.26731e+25         326.236             
0.094          4.25317e+25         325.155             
0.0945         4.23947e+25         324.108             
0.095          4.22527e+25         323.022             
0.0955         4.21149e+25         321.968             
0.096          4.19767e+25         320.912             
0.0965         4.18334e+25         319.816             
0.097          4.16947e+25         318.756             
0.0975         4.15552e+25         317.689             
0.098          4.14156e+25         316.623             
0.0985         4.12802e+25         315.587             
0.099          4.11396e+25         314.513             
0.0995         4.0999e+25          313.438             
0.1            4.08626e+25         312.394             
0.1005         4.07256e+25         311.347             
0.101          4.05836e+25         310.262             
0.1015         4.04461e+25         309.211             
0.102          4.03081e+25         308.155             
0.1025         4.01698e+25         307.098             
0.103          4.00359e+25         306.075             
0.1035         3.98969e+25         305.011             
0.104          3.9762e+25          303.98              
0.1045         3.96221e+25         302.911             
0.105          3.94868e+25         301.876             
0.1055         3.93509e+25         300.838             
0.106          3.92148e+25         299.797             
0.1065         3.90782e+25         298.753             
0.107          3.89413e+25         297.706             
0.1075         3.88042e+25         296.658             
0.108          3.86714e+25         295.643             
0.1085         3.85333e+25         294.587             
0.109          3.83997e+25         293.566             
0.1095         3.82612e+25         292.507             
0.11           3.81269e+25         291.48              
0.1105         3.79922e+25         290.45              
0.111          3.78572e+25         289.418             
0.1115         3.77267e+25         288.421             
0.112          3.75911e+25         287.384             
0.1125         3.74552e+25         286.345             
0.113          3.73236e+25         285.339             
0.1135         3.71915e+25         284.329             
0.114          3.70545e+25         283.282             
0.1145         3.6922e+25          282.269             
0.115          3.67891e+25         281.253             
0.1155         3.66605e+25         280.27              
0.116          3.65269e+25         279.248             
0.1165         3.63932e+25         278.226             
0.117          3.62637e+25         277.236             
0.1175         3.61291e+25         276.207             
0.118          3.5999e+25          275.212             
0.1185         3.58685e+25         274.215             
0.119          3.57378e+25         273.216             
0.1195         3.56067e+25         272.213             
0.12           3.54754e+25         271.209             
0.1205         3.53436e+25         270.202             
0.121          3.52165e+25         269.23              
0.1215         3.50842e+25         268.219             
0.122          3.49565e+25         267.242             
0.1225         3.48284e+25         266.263             
0.123          3.46999e+25         265.28              
0.1235         3.45712e+25         264.297             
0.124          3.44421e+25         263.31              
0.1245         3.43128e+25         262.321             
0.125          3.41833e+25         261.332             
0.1255         3.40581e+25         260.374             
0.126          3.39281e+25         259.38              
0.1265         3.38023e+25         258.419             
0.127          3.36764e+25         257.456             
0.1275         3.35454e+25         256.454             
0.128          3.34189e+25         255.487             
0.1285         3.32969e+25         254.555             
0.129          3.31698e+25         253.583             
0.1295         3.30424e+25         252.609             
0.13           3.29197e+25         251.671             
0.1305         3.27918e+25         250.693             
0.131          3.26683e+25         249.749             
0.1315         3.25399e+25         248.767             
0.132          3.24161e+25         247.821             
0.1325         3.2292e+25          246.873             
0.133          3.21676e+25         245.921             
0.1335         3.20479e+25         245.006             
0.134          3.19229e+25         244.051             
0.1345         3.17978e+25         243.094             
0.135          3.16773e+25         242.173             
0.1355         3.15517e+25         241.212             
0.136          3.14306e+25         240.287             
0.1365         3.13093e+25         239.359             
0.137          3.11877e+25         238.43              
0.1375         3.10659e+25         237.499             
0.138          3.09439e+25         236.566             
0.1385         3.08216e+25         235.631             
0.139          3.07041e+25         234.733             
0.1395         3.05813e+25         233.794             
0.14           3.04633e+25         232.892             
0.1405         3.03401e+25         231.95              
0.141          3.02215e+25         231.043             
0.1415         3.01028e+25         230.136             
0.142          2.99839e+25         229.227             
0.1425         2.98645e+25         228.314             
0.143          2.97452e+25         227.402             
0.1435         2.96256e+25         226.488             
0.144          2.95107e+25         225.609             
0.1445         2.93906e+25         224.691             
0.145          2.92752e+25         223.809             
0.1455         2.91546e+25         222.887             
0.146          2.9039e+25          222.003             
0.1465         2.89229e+25         221.115             
0.147          2.88067e+25         220.227             
0.1475         2.86904e+25         219.338             
0.148          2.85738e+25         218.446             
0.1485         2.84569e+25         217.553             
0.149          2.83448e+25         216.696             
0.1495         2.82277e+25         215.801             
0.15           2.81153e+25         214.941             
0.1505         2.79976e+25         214.042             
0.151          2.78848e+25         213.18              
0.1515         2.77719e+25         212.316             
0.152          2.76588e+25         211.451             
0.1525         2.75453e+25         210.584             
0.153          2.74318e+25         209.716             
0.1535         2.7318e+25          208.846             
0.154          2.7204e+25          207.975             
0.1545         2.7095e+25          207.142             
0.155          2.69808e+25         206.268             
0.1555         2.68712e+25         205.431             
0.156          2.67566e+25         204.554             
0.1565         2.66467e+25         203.714             
0.157          2.65368e+25         202.874             
0.1575         2.64267e+25         202.032             
0.158          2.63164e+25         201.189             
0.1585         2.62058e+25         200.344             
0.159          2.60952e+25         199.498             
0.1595         2.59843e+25         198.65              
0.16           2.58784e+25         197.84              
0.1605         2.57673e+25         196.991             
0.161          2.5661e+25          196.178             
0.1615         2.55495e+25         195.326             
0.162          2.54429e+25         194.511             
0.1625         2.53362e+25         193.695             
0.163          2.52293e+25         192.878             
0.1635         2.51171e+25         192.02              
0.164          2.50151e+25         191.24              
0.1645         2.49076e+25         190.419             
0.165          2.48001e+25         189.597             
0.1655         2.46925e+25         188.774             
0.166          2.45897e+25         187.988             
0.1665         2.44818e+25         187.163             
0.167          2.43787e+25         186.375             
0.1675         2.42706e+25         185.548             
0.168          2.41672e+25         184.758             
0.1685         2.40638e+25         183.967             
0.169          2.39603e+25         183.176             
0.1695         2.38565e+25         182.383             
0.17           2.37526e+25         181.589             
0.1705         2.36486e+25         180.794             
0.171          2.35446e+25         179.998             
0.1715         2.34403e+25         179.201             
0.172          2.3341e+25          178.442             
0.1725         2.32365e+25         177.643             
0.173          2.3137e+25          176.882             
0.1735         2.30322e+25         176.081             
0.174          2.29324e+25         175.318             
0.1745         2.28325e+25         174.555             
0.175          2.27325e+25         173.79              
0.1755         2.26323e+25         173.024             
0.176          2.25321e+25         172.258             
0.1765         2.24316e+25         171.49              
0.177          2.23312e+25         170.722             
0.1775         2.22306e+25         169.953             
0.178          2.21349e+25         169.221             
0.1785         2.20342e+25         168.451             
