r [R_sun]      e #density [cm**-3] e #density [eV**3]  
0.3885         2.31988e+24         17.7355             
0.389          2.30691e+24         17.6363             
0.3895         2.29393e+24         17.5371             
0.39           2.28146e+24         17.4418             
0.3905         2.26848e+24         17.3425             
0.391          2.25602e+24         17.2473             
0.3915         2.24355e+24         17.152              
0.392          2.23057e+24         17.0527             
0.3925         2.21863e+24         16.9615             
0.393          2.20616e+24         16.8661             
0.3935         2.1937e+24          16.7709             
0.394          2.18124e+24         16.6756             
0.3945         2.16929e+24         16.5842             
0.395          2.15735e+24         16.493              
0.3955         2.1454e+24          16.4016             
0.396          2.13346e+24         16.3103             
0.3965         2.12152e+24         16.219              
0.397          2.10956e+24         16.1276             
0.3975         2.09762e+24         16.0363             
0.398          2.0862e+24          15.949              
0.3985         2.07477e+24         15.8616             
0.399          2.06283e+24         15.7703             
0.3995         2.05139e+24         15.6829             
0.4            2.03997e+24         15.5956             
0.4005         2.02855e+24         15.5083             
0.401          2.01763e+24         15.4248             
0.4015         2.00621e+24         15.3375             
0.402          1.9953e+24          15.254              
0.4025         1.98387e+24         15.1667             
0.403          1.97296e+24         15.0833             
0.4035         1.96206e+24         14.9999             
0.404          1.95115e+24         14.9166             
0.4045         1.94024e+24         14.8331             
0.405          1.92985e+24         14.7537             
0.4055         1.91894e+24         14.6703             
0.406          1.90855e+24         14.5909             
0.4065         1.89764e+24         14.5074             
0.407          1.88725e+24         14.428              
0.4075         1.87686e+24         14.3486             
0.408          1.86647e+24         14.2692             
0.4085         1.85608e+24         14.1897             
0.409          1.84569e+24         14.1103             
0.4095         1.83582e+24         14.0349             
0.41           1.82543e+24         13.9554             
0.4105         1.81556e+24         13.88               
0.411          1.80516e+24         13.8005             
0.4115         1.7953e+24          13.7251             
0.412          1.78542e+24         13.6495             
0.4125         1.77556e+24         13.5741             
0.413          1.76568e+24         13.4986             
0.4135         1.75633e+24         13.4272             
0.414          1.74645e+24         13.3516             
0.4145         1.73658e+24         13.2761             
0.415          1.72723e+24         13.2047             
0.4155         1.71787e+24         13.1331             
0.416          1.708e+24           13.0577             
0.4165         1.69865e+24         12.9861             
0.417          1.6893e+24          12.9147             
0.4175         1.67994e+24         12.8431             
0.418          1.67111e+24         12.7757             
0.4185         1.66175e+24         12.7041             
0.419          1.65241e+24         12.6326             
0.4195         1.64357e+24         12.5651             
0.42           1.63474e+24         12.4976             
0.4205         1.62538e+24         12.426              
0.421          1.61654e+24         12.3585             
0.4215         1.60771e+24         12.291              
0.422          1.59887e+24         12.2234             
0.4225         1.59004e+24         12.1559             
0.423          1.58121e+24         12.0883             
0.4235         1.5729e+24          12.0248             
0.424          1.56406e+24         11.9572             
0.4245         1.55574e+24         11.8936             
0.425          1.54691e+24         11.8261             
0.4255         1.53859e+24         11.7625             
0.426          1.53028e+24         11.699              
0.4265         1.52196e+24         11.6354             
0.427          1.51364e+24         11.5718             
0.4275         1.50533e+24         11.5082             
0.428          1.49701e+24         11.4446             
0.4285         1.4887e+24          11.3811             
0.429          1.48038e+24         11.3175             
0.4295         1.47258e+24         11.2579             
0.43           1.46427e+24         11.1943             
0.4305         1.45647e+24         11.1347             
0.431          1.44868e+24         11.0751             
0.4315         1.44088e+24         11.0155             
0.432          1.43256e+24         10.9519             
0.4325         1.42476e+24         10.8923             
0.433          1.41749e+24         10.8367             
0.4335         1.40968e+24         10.777              
0.434          1.40189e+24         10.7175             
0.4345         1.39409e+24         10.6578             
0.435          1.38682e+24         10.6022             
0.4355         1.37902e+24         10.5426             
0.436          1.37174e+24         10.4869             
0.4365         1.36395e+24         10.4274             
0.437          1.35667e+24         10.3717             
0.4375         1.34939e+24         10.3161             
0.438          1.34211e+24         10.2605             
0.4385         1.33483e+24         10.2048             
0.439          1.32755e+24         10.1491             
0.4395         1.32028e+24         10.0935             
0.44           1.313e+24           10.0379             
0.4405         1.30624e+24         9.98618             
0.441          1.29896e+24         9.93057             
0.4415         1.29168e+24         9.8749              
0.442          1.28492e+24         9.82322             
0.4425         1.27817e+24         9.77159             
0.443          1.27089e+24         9.71592             
0.4435         1.26412e+24         9.66423             
0.444          1.25737e+24         9.6126              
0.4445         1.25061e+24         9.56091             
0.445          1.24385e+24         9.50922             
0.4455         1.23709e+24         9.45758             
0.446          1.23033e+24         9.40589             
0.4465         1.22357e+24         9.3542              
0.447          1.21734e+24         9.30654             
0.4475         1.21058e+24         9.25485             
0.448          1.20433e+24         9.20713             
0.4485         1.19758e+24         9.15549             
0.449          1.19134e+24         9.10778             
0.4495         1.18458e+24         9.05608             
0.45           1.17833e+24         9.00836             
0.4505         1.1721e+24          8.9607              
0.451          1.16586e+24         8.91298             
0.4515         1.15962e+24         8.86526             
0.452          1.15338e+24         8.8176              
0.4525         1.14714e+24         8.76988             
0.453          1.1409e+24          8.72216             
0.4535         1.13466e+24         8.67449             
0.454          1.12842e+24         8.62676             
0.4545         1.1227e+24          8.58302             
0.455          1.11646e+24         8.5353              
0.4555         1.11074e+24         8.49161             
0.456          1.1045e+24          8.44388             
0.4565         1.09878e+24         8.40014             
0.457          1.09306e+24         8.35644             
0.4575         1.08682e+24         8.30872             
0.458          1.0811e+24          8.26497             
0.4585         1.07538e+24         8.22128             
0.459          1.06966e+24         8.17753             
0.4595         1.06393e+24         8.13378             
0.46           1.05821e+24         8.09003             
0.4605         1.0525e+24          8.04633             
0.461          1.04677e+24         8.00258             
0.4615         1.04157e+24         7.96282             
0.462          1.03586e+24         7.91911             
0.4625         1.03013e+24         7.87536             
0.463          1.02493e+24         7.83559             
0.4635         1.01921e+24         7.79184             
0.464          1.01401e+24         7.75212             
0.4645         1.00881e+24         7.71234             
0.465          1.00309e+24         7.66859             
0.4655         9.97883e+23         7.62882             
0.466          9.92687e+23         7.58909             
0.4665         9.87484e+23         7.54932             
0.467          9.82282e+23         7.50954             
0.4675         9.77085e+23         7.46981             
0.468          9.71882e+23         7.43004             
0.4685         9.66679e+23         7.39026             
0.469          9.61476e+23         7.35049             
0.4695         9.56279e+23         7.31075             
0.47           9.51076e+23         7.27098             
0.4705         9.46394e+23         7.23518             
0.471          9.41191e+23         7.1954              
0.4715         9.35993e+23         7.15567             
0.472          9.31311e+23         7.11987             
0.4725         9.26107e+23         7.08009             
0.473          9.21425e+23         7.04429             
0.4735         9.16747e+23         7.00853             
0.474          9.11544e+23         6.96875             
0.4745         9.06861e+23         6.93295             
0.475          9.02179e+23         6.89715             
0.4755         8.97501e+23         6.86139             
0.476          8.92818e+23         6.82559             
0.4765         8.88135e+23         6.78979             
0.477          8.83452e+23         6.75399             
0.4775         8.78774e+23         6.71823             
0.478          8.74091e+23         6.68243             
0.4785         8.69408e+23         6.64662             
0.479          8.64725e+23         6.61082             
0.4795         8.60046e+23         6.57505             
0.48           8.55884e+23         6.54323             
0.4805         8.512e+23           6.50743             
0.481          8.46517e+23         6.47162             
0.4815         8.42359e+23         6.43984             
0.482          8.37676e+23         6.40403             
0.4825         8.33513e+23         6.37221             
0.483          8.2935e+23          6.34038             
0.4835         8.24671e+23         6.30461             
0.484          8.20508e+23         6.27278             
0.4845         8.16345e+23         6.24096             
0.485          8.11661e+23         6.20515             
0.4855         8.07503e+23         6.17336             
0.486          8.0334e+23          6.14153             
0.4865         7.99177e+23         6.1097              
0.487          7.95013e+23         6.07788             
0.4875         7.9085e+23          6.04605             
0.488          7.86691e+23         6.01426             
0.4885         7.82528e+23         5.98243             
0.489          7.78365e+23         5.9506              
0.4895         7.74722e+23         5.92275             
0.49           7.70563e+23         5.89095             
0.4905         7.66399e+23         5.85912             
0.491          7.62236e+23         5.82729             
0.4915         7.58593e+23         5.79944             
0.492          7.54434e+23         5.76765             
0.4925         7.50791e+23         5.7398              
0.493          7.46627e+23         5.70796             
0.4935         7.42984e+23         5.68011             
0.494          7.3882e+23          5.64828             
0.4945         7.35182e+23         5.62046             
0.495          7.31539e+23         5.59261             
0.4955         7.27374e+23         5.56078             
0.496          7.23731e+23         5.53293             
0.4965         7.20092e+23         5.50511             
0.497          7.16449e+23         5.47725             
0.4975         7.12806e+23         5.4494              
0.498          7.08641e+23         5.41756             
0.4985         7.05002e+23         5.38974             
0.499          7.01359e+23         5.36189             
0.4995         6.97715e+23         5.33403             
0.5            6.94072e+23         5.30618             
0.5005         6.90953e+23         5.28234             
0.501          6.8731e+23          5.25448             
0.5015         6.83666e+23         5.22663             
0.502          6.80022e+23         5.19877             
0.5025         6.76379e+23         5.17092             
0.503          6.7326e+23          5.14707             
0.5035         6.69616e+23         5.11922             
0.504          6.65972e+23         5.09136             
0.5045         6.6285e+23          5.06748             
0.505          6.59209e+23         5.03966             
0.5055         6.56086e+23         5.01578             
0.506          6.52442e+23         4.98792             
0.5065         6.49319e+23         4.96405             
0.507          6.45679e+23         4.93622             
0.5075         6.42556e+23         4.91234             
0.508          6.39433e+23         4.88846             
0.5085         6.35789e+23         4.8606              
0.509          6.32669e+23         4.83676             
0.5095         6.29546e+23         4.81288             
0.51           6.26423e+23         4.789               
0.5105         6.23299e+23         4.76512             
0.511          6.19658e+23         4.73729             
0.5115         6.16535e+23         4.71341             
0.512          6.13412e+23         4.68953             
0.5125         6.10288e+23         4.66565             
0.513          6.07168e+23         4.6418              
0.5135         6.04045e+23         4.61792             
0.514          6.00921e+23         4.59404             
0.5145         5.97797e+23         4.57016             
0.515          5.95195e+23         4.55026             
0.5155         5.92075e+23         4.52641             
0.516          5.88951e+23         4.50253             
0.5165         5.85827e+23         4.47865             
0.517          5.82703e+23         4.45477             
0.5175         5.80104e+23         4.43489             
0.518          5.7698e+23          4.41101             
0.5185         5.73856e+23         4.38713             
0.519          5.71253e+23         4.36723             
0.5195         5.68133e+23         4.34337             
0.52           5.6553e+23          4.32347             
0.5205         5.62406e+23         4.29959             
0.521          5.59803e+23         4.27969             
0.5215         5.56682e+23         4.25583             
0.522          5.54079e+23         4.23593             
0.5225         5.50954e+23         4.21205             
0.523          5.48351e+23         4.19215             
0.5235         5.45752e+23         4.17227             
0.524          5.42627e+23         4.14838             
0.5245         5.40024e+23         4.12848             
0.525          5.37421e+23         4.10858             
0.5255         5.34818e+23         4.08868             
0.526          5.31696e+23         4.06482             
0.5265         5.29093e+23         4.04491             
0.527          5.26489e+23         4.02501             
0.5275         5.23886e+23         4.00511             
0.528          5.21286e+23         3.98523             
0.5285         5.1863e+23          3.96493             
0.529          5.16027e+23         3.94502             
0.5295         5.13423e+23         3.92512             
0.53           5.10875e+23         3.90564             
0.5305         5.08271e+23         3.88573             
0.531          5.0572e+23          3.86623             
0.5315         5.03168e+23         3.84672             
0.532          5.00672e+23         3.82764             
0.5325         4.9812e+23          3.80813             
0.533          4.95621e+23         3.78902             
0.5335         4.93121e+23         3.76991             
0.534          4.90677e+23         3.75122             
0.5345         4.88229e+23         3.73251             
0.535          4.85782e+23         3.7138              
0.5355         4.83334e+23         3.69509             
0.536          4.8089e+23          3.6764              
0.5365         4.78494e+23         3.65809             
0.537          4.76099e+23         3.63977             
0.5375         4.73703e+23         3.62146             
0.538          4.7136e+23          3.60355             
0.5385         4.68967e+23         3.58525             
0.539          4.66676e+23         3.56774             
0.5395         4.64332e+23         3.54982             
0.54           4.61989e+23         3.5319              
0.5405         4.597e+23           3.51441             
0.541          4.57409e+23         3.49689             
0.5415         4.55117e+23         3.47937             
0.542          4.52878e+23         3.46225             
0.5425         4.50589e+23         3.44475             
0.543          4.48349e+23         3.42763             
0.5435         4.4611e+23          3.41051             
0.544          4.43923e+23         3.39379             
0.5445         4.41686e+23         3.37669             
0.545          4.39498e+23         3.35996             
0.5455         4.37311e+23         3.34324             
0.546          4.35176e+23         3.32692             
0.5465         4.32988e+23         3.31019             
0.547          4.30855e+23         3.29389             
0.5475         4.2872e+23          3.27756             
0.548          4.26585e+23         3.26124             
0.5485         4.24449e+23         3.24491             
0.549          4.22368e+23         3.22901             
0.5495         4.20285e+23         3.21308             
0.55           4.18202e+23         3.19715             
0.5505         4.16118e+23         3.18122             
0.551          4.14089e+23         3.16571             
0.5515         4.12058e+23         3.15018             
0.552          4.09975e+23         3.13426             
0.5525         4.07995e+23         3.11912             
0.553          4.05966e+23         3.10361             
0.5535         4.03935e+23         3.08808             
0.554          4.01956e+23         3.07295             
0.5545         3.99976e+23         3.05782             
0.555          3.97999e+23         3.0427              
0.5555         3.96072e+23         3.02797             
0.556          3.94093e+23         3.01284             
0.5565         3.92165e+23         2.9981              
0.557          3.90238e+23         2.98337             
0.5575         3.88313e+23         2.96865             
0.558          3.86438e+23         2.95432             
0.5585         3.8451e+23          2.93958             
0.559          3.82635e+23         2.92525             
0.5595         3.80762e+23         2.91093             
0.56           3.78887e+23         2.89659             
0.5605         3.77012e+23         2.88225             
0.561          3.75188e+23         2.86832             
0.5615         3.73367e+23         2.85439             
0.562          3.71492e+23         2.84006             
0.5625         3.69669e+23         2.82612             
0.563          3.67898e+23         2.81258             
0.5635         3.66074e+23         2.79864             
0.564          3.64305e+23         2.78511             
0.5645         3.62534e+23         2.77157             
0.565          3.60763e+23         2.75803             
0.5655         3.58992e+23         2.74449             
0.566          3.5722e+23          2.73095             
0.5665         3.55503e+23         2.71782             
0.567          3.53784e+23         2.70468             
0.5675         3.52013e+23         2.69114             
0.568          3.50294e+23         2.678               
0.5685         3.48629e+23         2.66527             
0.569          3.46909e+23         2.65212             
0.5695         3.45242e+23         2.63938             
0.57           3.43575e+23         2.62663             
0.5705         3.41908e+23         2.61389             
0.571          3.40243e+23         2.60116             
0.5715         3.38576e+23         2.58841             
0.572          3.36909e+23         2.57567             
0.5725         3.35293e+23         2.56332             
0.573          3.33678e+23         2.55097             
0.5735         3.32065e+23         2.53864             
0.574          3.3045e+23          2.52629             
0.5745         3.28835e+23         2.51394             
0.575          3.27272e+23         2.50199             
0.5755         3.25657e+23         2.48965             
0.576          3.24094e+23         2.4777              
0.5765         3.22533e+23         2.46576             
0.577          3.20969e+23         2.45381             
0.5775         3.19406e+23         2.44186             
0.578          3.17895e+23         2.43031             
0.5785         3.16332e+23         2.41836             
0.579          3.14823e+23         2.40682             
0.5795         3.13312e+23         2.39527             
0.58           3.11801e+23         2.38372             
0.5805         3.1029e+23          2.37217             
0.581          3.08779e+23         2.36062             
0.5815         3.0732e+23          2.34946             
0.582          3.05811e+23         2.33792             
0.5825         3.04352e+23         2.32677             
0.583          3.02893e+23         2.31562             
0.5835         3.01434e+23         2.30446             
0.584          2.99975e+23         2.29331             
0.5845         2.98568e+23         2.28255             
0.585          2.97109e+23         2.2714              
0.5855         2.95704e+23         2.26065             
0.586          2.94297e+23         2.2499              
0.5865         2.9289e+23          2.23914             
0.587          2.91483e+23         2.22839             
0.5875         2.90076e+23         2.21763             
0.588          2.88721e+23         2.20727             
0.5885         2.87314e+23         2.19652             
0.589          2.85961e+23         2.18617             
0.5895         2.84554e+23         2.17541             
0.59           2.83199e+23         2.16506             
0.5905         2.81844e+23         2.1547              
0.591          2.80541e+23         2.14474             
0.5915         2.79187e+23         2.13438             
0.592          2.77832e+23         2.12402             
0.5925         2.7653e+23          2.11408             
0.593          2.75228e+23         2.10412             
0.5935         2.73873e+23         2.09376             
0.594          2.7257e+23          2.0838              
0.5945         2.71319e+23         2.07423             
0.595          2.70016e+23         2.06427             
0.5955         2.68713e+23         2.05431             
0.596          2.67463e+23         2.04475             
0.5965         2.6616e+23          2.03479             
0.597          2.64909e+23         2.02523             
0.5975         2.63658e+23         2.01567             
0.598          2.62407e+23         2.00611             
0.5985         2.61157e+23         1.99654             
0.599          2.59906e+23         1.98698             
0.5995         2.58707e+23         1.97782             
0.6            2.57458e+23         1.96827             
0.6005         2.56259e+23         1.9591              
0.601          2.55061e+23         1.94994             
0.6015         2.5381e+23          1.94038             
0.602          2.52611e+23         1.93121             
0.6025         2.51464e+23         1.92245             
0.603          2.50266e+23         1.91328             
0.6035         2.49067e+23         1.90412             
0.604          2.4792e+23          1.89535             
0.6045         2.4672e+23          1.88618             
0.605          2.45574e+23         1.87741             
0.6055         2.44427e+23         1.86864             
0.606          2.4328e+23          1.85988             
0.6065         2.42134e+23         1.85111             
0.607          2.40987e+23         1.84235             
0.6075         2.3984e+23          1.83358             
0.608          2.38746e+23         1.82521             
0.6085         2.37599e+23         1.81645             
0.609          2.36505e+23         1.80808             
0.6095         2.35358e+23         1.79931             
0.61           2.34263e+23         1.79094             
0.6105         2.33169e+23         1.78258             
0.611          2.32074e+23         1.77421             
0.6115         2.3098e+23          1.76584             
0.612          2.29885e+23         1.75747             
0.6125         2.28841e+23         1.74949             
0.613          2.27747e+23         1.74112             
0.6135         2.26704e+23         1.73315             
0.614          2.25662e+23         1.72518             
0.6145         2.24567e+23         1.71682             
0.615          2.23525e+23         1.70885             
0.6155         2.22481e+23         1.70087             
0.616          2.21438e+23         1.6929              
0.6165         2.20396e+23         1.68493             
0.617          2.19406e+23         1.67736             
0.6175         2.18363e+23         1.66938             
0.618          2.17373e+23         1.66181             
0.6185         2.16329e+23         1.65383             
0.619          2.15338e+23         1.64626             
0.6195         2.14348e+23         1.63869             
0.62           2.13358e+23         1.63112             
0.6205         2.12366e+23         1.62354             
0.621          2.11376e+23         1.61597             
0.6215         2.10385e+23         1.60839             
0.622          2.09395e+23         1.60082             
0.6225         2.08455e+23         1.59364             
0.623          2.07465e+23         1.58607             
0.6235         2.06527e+23         1.5789              
0.624          2.05535e+23         1.57131             
0.6245         2.04597e+23         1.56414             
0.625          2.03658e+23         1.55697             
0.6255         2.02719e+23         1.54979             
0.626          2.01781e+23         1.54261             
0.6265         2.00842e+23         1.53544             
0.627          1.99903e+23         1.52826             
0.6275         1.99017e+23         1.52148             
0.628          1.98078e+23         1.51431             
0.6285         1.97139e+23         1.50713             
0.629          1.96253e+23         1.50035             
0.6295         1.95366e+23         1.49358             
0.63           1.94427e+23         1.48639             
0.6305         1.93541e+23         1.47962             
0.631          1.92654e+23         1.47284             
0.6315         1.91767e+23         1.46606             
0.632          1.90881e+23         1.45928             
0.6325         1.89995e+23         1.45251             
0.633          1.89159e+23         1.44612             
0.6335         1.88273e+23         1.43935             
0.634          1.87439e+23         1.43297             
0.6345         1.86552e+23         1.42619             
0.635          1.85718e+23         1.41981             
0.6355         1.84831e+23         1.41304             
0.636          1.83996e+23         1.40665             
0.6365         1.83162e+23         1.40027             
0.637          1.82328e+23         1.3939              
0.6375         1.81493e+23         1.38751             
0.638          1.80659e+23         1.38114             
0.6385         1.79825e+23         1.37476             
0.639          1.78989e+23         1.36837             
0.6395         1.78208e+23         1.3624              
0.64           1.77373e+23         1.35602             
0.6405         1.76591e+23         1.35004             
0.641          1.75756e+23         1.34366             
0.6415         1.74974e+23         1.33768             
0.642          1.74192e+23         1.3317              
0.6425         1.7341e+23          1.32572             
0.643          1.72576e+23         1.31934             
0.6435         1.71794e+23         1.31336             
0.644          1.71012e+23         1.30739             
0.6445         1.7023e+23          1.30141             
0.645          1.695e+23           1.29583             
0.6455         1.68718e+23         1.28985             
0.646          1.67936e+23         1.28387             
0.6465         1.67206e+23         1.27829             
0.647          1.66424e+23         1.27231             
0.6475         1.65694e+23         1.26673             
0.648          1.64913e+23         1.26076             
0.6485         1.64183e+23         1.25518             
0.649          1.63453e+23         1.2496              
0.6495         1.62724e+23         1.24403             
0.65           1.61942e+23         1.23805             
0.6505         1.61213e+23         1.23247             
0.651          1.60536e+23         1.2273              
0.6515         1.59806e+23         1.22172             
0.652          1.59077e+23         1.21614             
0.6525         1.58348e+23         1.21057             
0.653          1.57619e+23         1.205               
0.6535         1.56942e+23         1.19982             
0.654          1.56213e+23         1.19425             
0.6545         1.55536e+23         1.18907             
0.655          1.54807e+23         1.1835              
0.6555         1.54131e+23         1.17833             
0.656          1.53454e+23         1.17315             
0.6565         1.52778e+23         1.16798             
0.657          1.52049e+23         1.16242             
0.6575         1.51372e+23         1.15724             
0.658          1.50696e+23         1.15207             
0.6585         1.5002e+23          1.1469              
0.659          1.49344e+23         1.14174             
0.6595         1.4872e+23          1.13697             
0.66           1.48044e+23         1.1318              
0.6605         1.47369e+23         1.12663             
0.661          1.46692e+23         1.12146             
0.6615         1.46069e+23         1.1167              
0.662          1.45393e+23         1.11153             
0.6625         1.4477e+23          1.10677             
0.663          1.44094e+23         1.1016              
0.6635         1.43472e+23         1.09684             
0.664          1.42849e+23         1.09208             
0.6645         1.42226e+23         1.08732             
0.665          1.41603e+23         1.08256             
0.6655         1.40928e+23         1.07739             
0.666          1.40306e+23         1.07264             
0.6665         1.39683e+23         1.06788             
0.667          1.39061e+23         1.06312             
0.6675         1.38491e+23         1.05877             
0.668          1.37869e+23         1.05401             
0.6685         1.37247e+23         1.04925             
0.669          1.36625e+23         1.0445              
0.6695         1.36056e+23         1.04015             
0.67           1.35434e+23         1.03539             
0.6705         1.34865e+23         1.03104             
0.671          1.34243e+23         1.02629             
0.6715         1.33675e+23         1.02194             
0.672          1.33054e+23         1.01719             
0.6725         1.32485e+23         1.01285             
0.673          1.31916e+23         1.0085              
0.6735         1.31348e+23         1.00416             
0.674          1.30779e+23         0.999806            
0.6745         1.30159e+23         0.995062            
0.675          1.29591e+23         0.990723            
0.6755         1.29023e+23         0.986378            
0.676          1.28507e+23         0.982438            
0.6765         1.2794e+23          0.978098            
0.677          1.27372e+23         0.973757            
0.6775         1.26805e+23         0.969422            
0.678          1.26237e+23         0.96508             
0.6785         1.25722e+23         0.961143            
0.679          1.25155e+23         0.956811            
0.6795         1.2464e+23          0.952873            
0.68           1.24073e+23         0.94854             
0.6805         1.23559e+23         0.944606            
0.681          1.22992e+23         0.940272            
0.6815         1.22478e+23         0.936343            
0.682          1.21911e+23         0.932013            
0.6825         1.21397e+23         0.928082            
0.683          1.20883e+23         0.924151            
0.6835         1.20369e+23         0.920224            
0.684          1.19855e+23         0.916292            
0.6845         1.19342e+23         0.912369            
0.685          1.18828e+23         0.908441            
0.6855         1.18314e+23         0.904512            
0.686          1.17801e+23         0.900587            
0.6865         1.17287e+23         0.896662            
0.687          1.16774e+23         0.892736            
0.6875         1.1626e+23          0.888809            
0.688          1.15747e+23         0.884887            
0.6885         1.15286e+23         0.881359            
0.689          1.14773e+23         0.877436            
0.6895         1.14312e+23         0.873912            
0.69           1.13799e+23         0.869992            
0.6905         1.13338e+23         0.866467            
0.691          1.12825e+23         0.862545            
0.6915         1.12364e+23         0.859023            
0.692          1.11851e+23         0.8551              
0.6925         1.1139e+23          0.851577            
0.693          1.10929e+23         0.848053            
0.6935         1.10469e+23         0.844533            
0.694          1.09956e+23         0.840612            
0.6945         1.09495e+23         0.837086            
0.695          1.09035e+23         0.833569            
0.6955         1.08574e+23         0.830046            
0.696          1.08113e+23         0.826523            
0.6965         1.07652e+23         0.823003            
0.697          1.07192e+23         0.819483            
0.6975         1.06731e+23         0.815962            
0.698          1.06323e+23         0.812841            
0.6985         1.05862e+23         0.809318            
0.699          1.05402e+23         0.805795            
0.6995         1.04941e+23         0.802275            
0.7            1.04533e+23         0.799156            
0.7005         1.04073e+23         0.795635            
0.701          1.03664e+23         0.792515            
0.7015         1.03204e+23         0.788992            
0.702          1.02796e+23         0.785874            
0.7025         1.02335e+23         0.78235             
0.703          1.01927e+23         0.779231            
0.7035         1.01519e+23         0.776111            
0.704          1.01058e+23         0.772588            
0.7045         1.0065e+23          0.769467            
0.705          1.00242e+23         0.766349            
0.7055         9.98333e+22         0.763226            
0.706          9.94253e+22         0.760106            
0.7065         9.90171e+22         0.756986            
0.707          9.86089e+22         0.753865            
0.7075         9.82005e+22         0.750743            
0.708          9.7792e+22          0.74762             
0.7085         9.7384e+22          0.744501            
0.709          9.69753e+22         0.741376            
0.7095         9.65671e+22         0.738255            
0.71           9.62114e+22         0.735536            
0.7105         9.58029e+22         0.732413            
0.711          9.53944e+22         0.72929             
0.7115         9.50389e+22         0.726572            
0.712          9.46301e+22         0.723447            
0.7125         9.42744e+22         0.720728            
0.713          9.3866e+22          0.717605            
0.7135         9.35101e+22         0.714884            
0.714          9.31014e+22         0.71176             
0.7145         9.27453e+22         0.709038            
0.715          9.23896e+22         0.706318            
0.7155         9.19806e+22         0.703191            
0.716          9.16247e+22         0.700471            
0.7165         9.12687e+22         0.697749            
0.717          9.09126e+22         0.695027            
0.7175         9.05569e+22         0.692307            
0.718          9.02006e+22         0.689583            
0.7185         8.98447e+22         0.686862            
0.719          8.94886e+22         0.684141            
0.7195         8.91325e+22         0.681418            
0.72           8.87768e+22         0.678698            
0.7205         8.84209e+22         0.675978            
0.721          8.81178e+22         0.67366             
0.7215         8.77617e+22         0.670938            
0.722          8.74055e+22         0.668215            
0.7225         8.70492e+22         0.665491            
0.723          8.67457e+22         0.663171            
0.7235         8.63882e+22         0.660437            
0.724          8.60834e+22         0.658108            
0.7245         8.57781e+22         0.655773            
0.725          8.54081e+22         0.652945            
0.7255         8.5091e+22          0.650521            
0.726          8.47739e+22         0.648096            
0.7265         8.44568e+22         0.645672            
0.727          8.41397e+22         0.643248            
0.7275         8.38226e+22         0.640823            
0.728          8.35055e+22         0.638399            
0.7285         8.31883e+22         0.635975            
0.729          8.28712e+22         0.633551            
0.7295         8.25541e+22         0.631126            
0.73           8.2237e+22          0.628702            
0.7305         8.19199e+22         0.626278            
0.731          8.16028e+22         0.623853            
0.7315         8.13385e+22         0.621833            
0.732          8.10214e+22         0.619409            
0.7325         8.07043e+22         0.616985            
0.733          8.03872e+22         0.61456             
0.7335         8.00701e+22         0.612136            
0.734          7.9753e+22          0.609712            
0.7345         7.94359e+22         0.607287            
0.735          7.91716e+22         0.605267            
0.7355         7.88545e+22         0.602843            
0.736          7.85374e+22         0.600418            
0.7365         7.82203e+22         0.597994            
0.737          7.7956e+22          0.595974            
0.7375         7.76389e+22         0.59355             
0.738          7.73218e+22         0.591125            
0.7385         7.70576e+22         0.589105            
0.739          7.67405e+22         0.586681            
0.7395         7.64233e+22         0.584256            
0.74           7.61591e+22         0.582236            
0.7405         7.5842e+22          0.579812            
0.741          7.55249e+22         0.577388            
0.7415         7.52606e+22         0.575367            
0.742          7.49435e+22         0.572943            
0.7425         7.46792e+22         0.570923            
0.743          7.43621e+22         0.568498            
0.7435         7.4045e+22          0.566074            
0.744          7.37808e+22         0.564054            
0.7445         7.34637e+22         0.56163             
0.745          7.31994e+22         0.559609            
0.7455         7.28823e+22         0.557185            
0.746          7.2618e+22          0.555165            
0.7465         7.23009e+22         0.552741            
0.747          7.20367e+22         0.55072             
0.7475         7.17724e+22         0.5487              
0.748          7.14553e+22         0.546276            
0.7485         7.1191e+22          0.544255            
0.749          7.08739e+22         0.541831            
0.7495         7.06097e+22         0.539811            
0.75           7.03454e+22         0.537791            
0.7505         7.00283e+22         0.535366            
0.751          6.9764e+22          0.533346            
0.7515         6.94998e+22         0.531326            
0.752          6.91827e+22         0.528902            
0.7525         6.89184e+22         0.526881            
0.753          6.86542e+22         0.524861            
0.7535         6.83899e+22         0.522841            
0.754          6.80728e+22         0.520417            
0.7545         6.78085e+22         0.518396            
0.755          6.75443e+22         0.516376            
0.7555         6.728e+22           0.514356            
0.756          6.69629e+22         0.511931            
0.7565         6.66987e+22         0.509911            
0.757          6.64344e+22         0.507891            
0.7575         6.61701e+22         0.505871            
0.758          6.59059e+22         0.50385             
0.7585         6.56416e+22         0.50183             
0.759          6.53774e+22         0.49981             
0.7595         6.50603e+22         0.497386            
0.76           6.4796e+22          0.495365            
0.7605         6.45317e+22         0.493345            
0.761          6.42675e+22         0.491325            
0.7615         6.40032e+22         0.489305            
0.762          6.3739e+22          0.487284            
0.7625         6.34747e+22         0.485264            
0.763          6.32105e+22         0.483244            
0.7635         6.29462e+22         0.481224            
0.764          6.26819e+22         0.479203            
0.7645         6.24177e+22         0.477183            
0.765          6.21534e+22         0.475163            
0.7655         6.18892e+22         0.473143            
0.766          6.16249e+22         0.471122            
